1 10 9.57
1 10 8.5
1 10 8.6
1 10 8.66
1 10 8.78
1 10 9.74
1 10 8.86
1 10 9.14
1 10 8.95
1 10 8.87
2 10 4.46
2 10 4.5
2 10 4.31
2 10 4.47
2 10 5.4
2 10 4.46
2 10 4.27
2 10 9.68
2 10 4.47
2 10 4.35
3 10 7.53
3 10 4.1
3 10 3.66
3 10 3.62
3 10 3.77
3 10 3.56
3 10 3.46
3 10 3.51
3 10 3.62
3 10 3.55
4 10 2.67
4 10 2.76
4 10 2.66
4 10 2.64
4 10 2.72
4 10 2.79
4 10 3.09
4 10 3.17
4 10 2.74
4 10 2.62
5 10 1.82
5 10 1.82
5 10 1.76
5 10 1.87
5 10 2.01
5 10 1.78
5 10 1.85
5 10 1.84
5 10 1.77
5 10 1.88
6 10 1.89
6 10 1.82
6 10 1.84
6 10 1.89
6 10 1.84
6 10 1.9
6 10 1.83
6 10 1.84
6 10 1.93
6 10 1.98
7 10 1.88
7 10 1.85
7 10 1.99
7 10 1.93
7 10 1.96
7 10 1.84
7 10 1.85
7 10 1.92
7 10 1.94
7 10 1.85
8 10 1.93
8 10 1.91
8 10 1.92
8 10 1.94
8 10 1.92
8 10 1.97
8 10 1.9
8 10 1.92
8 10 1.99
8 10 1.9
9 10 2.77
9 10 1.96
9 10 2.04
9 10 1.85
9 10 2.04
9 10 1.86
9 10 1.82
9 10 1.81
9 10 1.8
9 10 2.16
10 10 1.69
10 10 1.65
10 10 1.3
10 10 0.99
10 10 1.58
10 10 1.08
10 10 1.28
10 10 1.01
10 10 1.44
10 10 1.29
11 10 0.92
11 10 1.71
11 10 0.93
11 10 0.99
11 10 0.93
11 10 1.74
11 10 1.59
11 10 0.97
11 10 1.87
11 10 1.74
12 10 1.85
12 10 1.01
12 10 1.7
12 10 1.05
12 10 1.1
12 10 1.8
12 10 1.79
12 10 1.76
12 10 1.8
12 10 1.71
13 10 1.67
13 10 1.72
13 10 1.6
13 10 1.62
13 10 1.74
13 10 1.73
13 10 1.69
13 10 1.82
13 10 1.78
13 10 1.77
14 10 1.68
14 10 1.67
14 10 1.67
14 10 1.7
14 10 1.73
14 10 1.74
14 10 1.78
14 10 1.66
14 10 1.8
14 10 1.64
15 10 1.87
15 10 1.93
15 10 2.01
15 10 1.87
15 10 1.85
15 10 1.76
15 10 1.85
15 10 1.91
15 10 1.85
15 10 1.77
16 10 1.73
16 10 1.85
16 10 1.72
16 10 1.89
16 10 1.65
16 10 1.65
16 10 1.81
16 10 1.94
16 10 1.81
16 10 1.74
1 10 8.76
1 10 8.59
1 10 8.33
1 10 13.35
1 10 8.92
1 10 8.78
1 10 8.63
1 10 8.92
1 10 8.64
1 10 8.8
2 10 4.51
2 10 4.36
2 10 4.65
2 10 4.45
2 10 4.4
2 10 4.28
2 10 4.45
